,address,bathrooms,country,detailedType,district,exterior,externalReference,floor,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,newDevelopmentFinished,numPhotos,operation,parkingSpace,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts,thumbnail,url
0,calle del Toboso,1,es,{u'typology': u'flat'},Carabanchel,True,03TobJorg,1,False,False,False,False,40.3943063,-3.7264684,Madrid,San Isidro,False,,19,rent,,1350.0,14.0,38223753,flat,Madrid,3,False,100.0,good,"{u'subtitle': u'San Isidro, Madrid', u'title': u'Piso en calle del Toboso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ef/6e/48/232743135.jpg,http://www.idealista.com/38223753
1,conde de xiquena,1,es,{u'typology': u'flat'},Centro,True,,1,False,True,False,False,40.42147,-3.6959624,Madrid,Chueca-Justicia,False,,12,rent,"{u'hasParkingSpace': True, u'isParkingSpaceIncludedInPrice': True}",1750.0,27.0,38222835,flat,Madrid,1,False,65.0,good,"{u'subtitle': u'Chueca-Justicia, Madrid', u'title': u'Piso en conde de xiquena'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9f/29/5d/232730319.jpg,http://www.idealista.com/38222835
2,calle del Principe de Vergara,3,es,{u'typology': u'flat'},Chamartín,True,,2,False,True,False,False,40.4423328,-3.677077,Madrid,El Viso,False,,35,rent,"{u'parkingSpacePrice': 100.0, u'hasParkingSpace': True, u'isParkingSpaceIncludedInPrice': False}",2400.0,14.0,38218706,flat,Madrid,4,False,170.0,good,"{u'subtitle': u'El Viso, Madrid', u'title': u'Piso en calle del Principe de Vergara'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/56/c3/51/232660762.jpg,http://www.idealista.com/38218706
3,"calle Hilarión Eslava, 31",2,es,{u'typology': u'flat'},Chamberí,True,3454-00643,11,False,True,False,False,40.4352562,-3.7166994,Madrid,Gaztambide,False,,19,rent,,2100.0,16.0,38167181,flat,Madrid,4,True,130.0,good,"{u'subtitle': u'Gaztambide, Madrid', u'title': u'Piso en calle Hilarión Eslava, 31'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/72/d5/7e/231912285.jpg,http://www.idealista.com/38167181
4,calle de Ponzano,2,es,{u'typology': u'flat'},Chamberí,False,947,4,False,True,False,False,40.4370488,-3.700083,Madrid,Nuevos Ministerios-Ríos Rosas,False,,29,rent,,1300.0,20.0,34716964,flat,Madrid,2,False,65.0,good,"{u'subtitle': u'Nuevos Ministerios-Ríos Rosas, Madrid', u'title': u'Piso en calle de Ponzano'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/73/5e/4b/231633842.jpg,http://www.idealista.com/34716964
5,barrio Ensanche de Vallecas - La Gavia,2,es,{u'typology': u'flat'},Villa de Vallecas,True,ensa-ensanche2h,1,False,True,False,False,40.3635971,-3.5889594,Madrid,Ensanche de Vallecas - La Gavia,False,,16,rent,,880.0,9.0,38145754,flat,Madrid,2,False,95.0,good,"{u'subtitle': u'Ensanche de Vallecas - La Gavia, Madrid', u'title': u'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/25/e1/6b/231408808.jpg,http://www.idealista.com/38145754
6,almagro,2,es,{u'typology': u'flat'},Chamberí,True,,2,False,True,False,False,40.4262164,-3.6967021,Madrid,Almagro,False,,19,rent,,3000.0,19.0,38140584,flat,Madrid,2,False,160.0,good,"{u'subtitle': u'Almagro, Madrid', u'title': u'Piso en almagro'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c6/bf/35/231325552.jpg,http://www.idealista.com/38140584
7,calle José Antonio Rebolledo y Palma,1,es,{u'typology': u'flat'},Villa de Vallecas,True,,10,False,True,False,False,40.364843,-3.5886521,Madrid,Ensanche de Vallecas - La Gavia,False,,10,rent,"{u'hasParkingSpace': True, u'isParkingSpaceIncludedInPrice': True}",750.0,10.0,38137605,flat,Madrid,1,False,75.0,good,"{u'subtitle': u'Ensanche de Vallecas - La Gavia, Madrid', u'title': u'Piso en calle José Antonio Rebolledo y Palma'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/46/8f/e0/231286579.jpg,http://www.idealista.com/38137605
8,avenida de la Albufera,1,es,{u'typology': u'flat'},Puente de Vallecas,True,Av Albufera,3,False,False,False,False,40.3907137,-3.6439918,Madrid,Portazgo,False,,16,rent,,800.0,10.0,38136903,flat,Madrid,3,False,80.0,good,"{u'subtitle': u'Portazgo, Madrid', u'title': u'Piso en avenida de la Albufera'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/59/5e/07/231275753.jpg,http://www.idealista.com/38136903
9,calle de Cardenal Marcelo Spínola,1,es,{u'typology': u'flat'},Chamartín,True,MPA-156,10,False,True,False,False,40.4701457,-3.669277,Madrid,Castilla,False,,15,rent,"{u'hasParkingSpace': True, u'isParkingSpaceIncludedInPrice': True}",1100.0,17.0,38128060,flat,Madrid,1,False,65.0,good,"{u'subtitle': u'Castilla, Madrid', u'title': u'Piso en calle de Cardenal Marcelo Spínola'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ba/e1/80/231106619.jpg,http://www.idealista.com/38128060
