,address,bathrooms,country,detailedType,district,exterior,externalReference,floor,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,newDevelopmentFinished,numPhotos,operation,parkingSpace,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts,thumbnail,url
721,avenida de Niceto Alcalá Zamora,2,es,{u'typology': u'flat'},Hortaleza,True,202-00283,1,False,True,False,False,40.48885,-3.64538,Madrid,Sanchinarro,False,,25,rent,"{u'hasParkingSpace': True, u'isParkingSpaceIncludedInPrice': True}",1200.0,13.0,38296829,flat,Madrid,2,False,91.0,good,"{u'subtitle': u'Sanchinarro, Madrid', u'title': u'Piso en avenida de Niceto Alcalá Zamora'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1a/1b/09/234050653.jpg,http://www.idealista.com/38296829
722,calle Doctor Vallejo,1,es,{u'typology': u'flat'},Ciudad Lineal,True,1014-HE-Dr.Vall,bj,False,False,False,False,40.4422206,-3.6484254,Madrid,Concepción,False,,16,rent,,700.0,13.0,38299213,flat,Madrid,1,False,55.0,good,"{u'subtitle': u'Concepción, Madrid', u'title': u'Piso en calle Doctor Vallejo'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ce/b1/02/234052277.jpg,http://www.idealista.com/38299213
723,"calle Oviedo, 33",1,es,{u'typology': u'flat'},Tetuán,True,,2,False,False,False,False,40.4489566,-3.6992516,Madrid,Cuatro Caminos,False,,2,rent,,950.0,24.0,38299212,flat,Madrid,2,True,40.0,good,"{u'subtitle': u'Cuatro Caminos, Madrid', u'title': u'Piso en calle Oviedo, 33'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a0/a8/c4/234053121.jpg,http://www.idealista.com/38299212
724,"calle de Palencia, 19",1,es,{u'typology': u'flat'},Tetuán,True,,1,False,True,False,False,40.4499061,-3.7023523,Madrid,Cuatro Caminos,False,,10,rent,,825.0,14.0,38298992,flat,Madrid,1,True,60.0,good,"{u'subtitle': u'Cuatro Caminos, Madrid', u'title': u'Piso en calle de Palencia, 19'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9f/7f/04/234048812.jpg,http://www.idealista.com/38298992
725,calle de Agustín de Foxá,1,es,{u'typology': u'flat'},Chamartín,True,AJ-02459,10,False,True,False,False,40.4710805,-3.6865177,Madrid,Castilla,False,,14,rent,,1050.0,17.0,38298979,flat,Madrid,1,False,61.0,good,"{u'subtitle': u'Castilla, Madrid', u'title': u'Piso en calle de Agustín de Foxá'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5d/aa/a5/234050892.jpg,http://www.idealista.com/38298979
726,calle de la Montera,1,es,{u'typology': u'flat'},Centro,True,,3,False,True,False,False,40.4203194,-3.7007596,Madrid,Sol,False,,19,rent,,1200.0,24.0,38299169,flat,Madrid,1,False,51.0,good,"{u'subtitle': u'Sol, Madrid', u'title': u'Piso en calle de la Montera'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/af/82/2c/234051487.jpg,http://www.idealista.com/38299169
727,calle de Federica Montseny,2,es,{u'typology': u'flat'},Norte,True,,2,False,True,False,False,40.5522184,-3.6505574,Alcobendas,,False,,13,rent,"{u'hasParkingSpace': True, u'isParkingSpaceIncludedInPrice': True}",1050.0,13.0,38299107,flat,Madrid,2,False,80.0,good,"{u'subtitle': u'Norte, Alcobendas', u'title': u'Piso en calle de Federica Montseny'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5c/58/bb/234050883.jpg,http://www.idealista.com/38299107
728,"calle Retamar, 3",6,es,"{u'subTypology': u'independantHouse', u'typology': u'chalet'}",,False,033-2016,,False,,True,True,40.19765,-3.84632,Cubas de la Sagra,,False,,40,rent,,1500.0,3.0,38299163,chalet,Madrid,7,True,450.0,good,"{u'subtitle': u'Cubas de la Sagra', u'title': u'Casa independiente en calle Retamar, 3'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/63/e7/16/175634388.jpg,http://www.idealista.com/38299163
729,barrio Arapiles,1,es,"{u'subTypology': u'studio', u'typology': u'flat'}",Chamberí,True,C219,2,False,True,False,False,40.4339922,-3.7042328,Madrid,Arapiles,False,,37,rent,,650.0,19.0,34721541,studio,Madrid,0,False,35.0,good,"{u'subtitle': u'Arapiles, Madrid', u'title': u'Estudio'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b1/14/64/168533728.jpg,http://www.idealista.com/34721541
730,"calle de Toledo, 66",1,es,{u'typology': u'flat'},Centro,False,225/2017,2,False,False,False,False,40.4097901,-3.7097167,Madrid,Palacio,False,,14,rent,,745.0,25.0,38298882,flat,Madrid,1,True,30.0,good,"{u'subtitle': u'Palacio, Madrid', u'title': u'Piso en calle de Toledo, 66'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7c/a9/e0/234046812.jpg,http://www.idealista.com/38298882
731,barrio Gaztambide,1,es,"{u'subTypology': u'studio', u'typology': u'flat'}",Chamberí,True,4083,3,False,True,False,False,40.4341926,-3.7131845,Madrid,Gaztambide,False,,13,rent,,850.0,15.0,38299028,studio,Madrid,0,False,55.0,good,"{u'subtitle': u'Gaztambide, Madrid', u'title': u'Estudio'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/49/b3/3f/234049867.jpg,http://www.idealista.com/38299028
732,barrio Argüelles,2,es,{u'typology': u'flat'},Moncloa,True,MG114679,3,False,True,False,False,40.4273129,-3.71775,Madrid,Argüelles,False,,21,rent,"{u'hasParkingSpace': True, u'isParkingSpaceIncludedInPrice': True}",2500.0,10.0,38299126,flat,Madrid,4,False,250.0,good,"{u'subtitle': u'Argüelles, Madrid', u'title': u'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/22/37/00/234050687.jpg,http://www.idealista.com/38299126
733,"calle del pintor antonio saura, 9",2,es,{u'typology': u'flat'},Hortaleza,False,RP112201734794,,False,False,False,False,40.4845614,-3.6518646,Madrid,Sanchinarro,False,,15,rent,"{u'hasParkingSpace': True, u'isParkingSpaceIncludedInPrice': True}",1100.0,11.0,38299105,flat,Madrid,3,True,100.0,good,"{u'subtitle': u'Sanchinarro, Madrid', u'title': u'Piso en calle del pintor antonio saura, 9'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/08/de/c5/234050357.jpg,http://www.idealista.com/38299105
734,Casco Antiguo,1,es,{u'typology': u'flat'},Casco Antiguo,True,,2,False,True,False,False,40.577282,-4.0014469,Galapagar,,False,,13,rent,"{u'hasParkingSpace': True, u'isParkingSpaceIncludedInPrice': True}",600.0,6.0,38298995,flat,Madrid,3,False,100.0,good,"{u'subtitle': u'Casco Antiguo, Galapagar', u'title': u'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/25/3e/00/234048838.jpg,http://www.idealista.com/38298995
735,calle del Doctor Esquerdo,2,es,{u'typology': u'flat'},Retiro,True,3469-00350,2,False,True,False,False,40.41093,-3.6684159,Madrid,Estrella,False,,21,rent,"{u'hasParkingSpace': True, u'isParkingSpaceIncludedInPrice': True}",1400.0,16.0,38298997,flat,Madrid,2,False,87.0,good,"{u'subtitle': u'Estrella, Madrid', u'title': u'Piso en calle del Doctor Esquerdo'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e3/67/d8/234048906.jpg,http://www.idealista.com/38298997
736,calle charleroi,2,es,{u'typology': u'flat'},Puente de Vallecas,False,VM5/CHARLEROI,6,False,True,False,False,40.38319,-3.63076,Madrid,Palomeras sureste,False,,12,rent,"{u'hasParkingSpace': True, u'isParkingSpaceIncludedInPrice': True}",850.0,9.0,34547117,flat,Madrid,2,False,97.0,good,"{u'subtitle': u'Palomeras sureste, Madrid', u'title': u'Piso en calle charleroi'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/46/61/e1/234059550.jpg,http://www.idealista.com/34547117
737,barrio Argüelles,3,es,{u'typology': u'flat'},Moncloa,True,MG114981,5,False,True,False,False,40.4278889,-3.7195085,Madrid,Argüelles,False,,24,rent,,2400.0,15.0,38298942,flat,Madrid,3,False,155.0,good,"{u'subtitle': u'Argüelles, Madrid', u'title': u'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2d/34/50/234047830.jpg,http://www.idealista.com/38298942
738,calle de Ana de Austria,2,es,{u'typology': u'flat'},Hortaleza,True,6810106,5,False,True,False,False,40.4983931,-3.6515837,Madrid,Sanchinarro,False,,10,rent,"{u'hasParkingSpace': True, u'isParkingSpaceIncludedInPrice': True}",1150.0,11.0,38298967,flat,Madrid,2,False,104.0,good,"{u'subtitle': u'Sanchinarro, Madrid', u'title': u'Piso en calle de Ana de Austria'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/01/76/06/234048334.jpg,http://www.idealista.com/38298967
