,neighbourhood_group_cleansed,availability_30,is_location_exact,host_identity_verified,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,price,Price_Person_Night,room_type,security_deposit,cleaning_fee,number_of_reviews,cancellation_policy,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_value,extra_people,guests_included,accommodates,host_is_superhost,instant_bookable
8778,Latina,30,t,f,1.0,1.0,1.0,1,1125,53.255,53.255,Private room,0.0,0.0,0,flexible,0.0,0.0,0.0,0.0,0.0,1,2,f,f
8779,Latina,4,f,f,1.0,1.0,1.0,1,1125,15.9765,15.9765,Private room,0.0,7.511031828,8,moderate,2.47,95.0,9.0,10.0,8.4499108065,1,2,f,t
8780,Latina,23,t,t,2.0,1.0,2.0,1,1125,21.302,21.302,Private room,0.0,9.388789785,0,strict,0.0,0.0,0.0,0.0,6.5721528495,1,3,f,t
8781,Latina,13,f,f,2.0,0.0,1.0,1,1125,15.9765,15.9765,Private room,0.0,0.0,3,flexible,1.55,90.0,9.0,10.0,14.0831846775,1,2,f,t
8782,Latina,24,t,t,1.0,1.0,1.0,1,1125,17.0416,17.0416,Private room,0.0,0.0,87,moderate,1.56,95.0,10.0,10.0,0.0,1,1,f,f
8783,Latina,12,t,t,2.0,1.0,2.0,1,1125,21.302,21.302,Private room,0.0,9.388789785,0,strict,0.0,0.0,0.0,0.0,9.388789785,1,3,f,t
8784,Latina,9,t,t,2.0,1.0,1.0,1,1125,21.302,21.302,Private room,0.0,9.388789785,0,strict,0.0,0.0,0.0,0.0,9.388789785,1,2,f,t
8785,Latina,26,t,t,1.0,1.0,2.0,1,1125,21.302,21.302,Private room,0.0,9.388789785,0,strict,0.0,0.0,0.0,0.0,6.5721528495,1,2,f,t
8786,Latina,4,t,f,1.0,4.0,6.0,2,1125,106.51,13.31375,Entire_home/apt,93.88789785,18.77757957,12,strict,2.71,87.0,9.0,9.0,4.6943948925,8,9,f,t
8787,Latina,16,t,f,1.0,1.0,1.0,1,1125,21.302,21.302,Private room,0.0,9.388789785,20,strict,0.72,85.0,8.0,8.0,6.5721528495,1,2,f,t
8788,Latina,30,t,t,1.0,1.0,1.0,1,1125,15.9765,15.9765,Private room,0.0,5.633273871,7,flexible,0.23,94.0,9.0,9.0,14.0831846775,1,2,f,f
8789,Latina,1,t,f,1.0,1.0,2.0,2,30,19.1718,19.1718,Private room,86.376866022,0.0,2,flexible,1.43,100.0,10.0,10.0,6.5721528495,1,2,f,f
8790,Latina,4,t,f,1.0,1.0,2.0,1,1125,21.302,21.302,Private room,0.0,9.388789785,21,strict,1.26,77.0,8.0,8.0,6.5721528495,1,3,f,t
8791,Latina,30,t,f,0.0,1.0,1.0,1,1125,45.7993,45.7993,Private room,0.0,0.0,0,flexible,0.0,0.0,0.0,0.0,0.0,1,2,f,f
8792,Latina,3,f,f,1.0,2.0,2.0,3,1125,53.255,13.31375,Entire_home/apt,234.719744625,18.77757957,7,flexible,0.69,91.0,10.0,9.0,0.0,4,4,f,f
8793,Latina,28,f,t,1.0,1.0,1.0,1,1125,26.6275,26.6275,Private room,0.0,0.0,1,moderate,0.24,100.0,10.0,10.0,0.0,1,1,f,f
8794,Latina,30,t,f,1.0,1.0,1.0,2,30,31.953,31.953,Private room,0.0,0.0,0,moderate,0.0,0.0,0.0,0.0,14.0831846775,1,1,f,f
8795,Latina,1,f,t,2.0,4.0,5.0,1,1125,46.8644,46.8644,Entire_home/apt,0.0,0.0,0,flexible,0.0,0.0,0.0,0.0,0.0,1,5,f,t
8796,Latina,3,t,f,1.0,1.0,1.0,1,31,17.0416,17.0416,Private room,93.88789785,0.0,6,moderate,1.29,93.0,10.0,9.0,0.0,1,1,f,f
8797,Latina,23,f,t,1.0,1.0,1.0,1,1125,21.302,21.302,Private room,0.0,0.0,4,flexible,0.38,90.0,10.0,9.0,0.0,1,1,f,f
8798,Latina,29,f,f,1.0,1.0,1.0,1,1125,31.953,31.953,Private room,0.0,0.0,1,flexible,0.88,100.0,10.0,10.0,0.0,1,1,f,f
8799,Latina,30,f,f,1.0,1.0,3.0,1,1125,40.4738,40.4738,Private room,0.0,0.0,0,flexible,0.0,0.0,0.0,0.0,26.288611398,1,3,f,f
8800,Latina,8,f,t,2.0,3.0,3.0,5,1125,53.255,53.255,Entire_home/apt,281.66369355,23.4719744625,0,moderate,0.0,0.0,0.0,0.0,0.0,1,5,f,t
8801,Latina,6,f,f,1.0,2.0,2.0,2,6,63.906,63.906,Entire_home/apt,0.0,0.0,23,flexible,3.88,91.0,10.0,9.0,0.0,1,4,f,t
8802,Latina,8,t,f,2.0,1.0,1.0,10,50,10.651,10.651,Private room,0.0,9.388789785,1,moderate,0.16,0.0,0.0,0.0,0.0,1,1,f,f
8803,Latina,0,f,t,1.0,1.0,1.0,1,1125,19.1718,19.1718,Private room,0.0,4.6943948925,26,strict,1.89,98.0,10.0,9.0,14.0831846775,1,3,t,f
8804,Latina,26,f,f,1.0,1.0,1.0,1,1125,29.8228,29.8228,Private room,0.0,0.0,3,flexible,0.58,80.0,9.0,9.0,0.0,1,2,f,t
8805,Latina,30,f,f,1.0,1.0,1.0,1,30,53.255,53.255,Private room,0.0,0.0,0,flexible,0.0,0.0,0.0,0.0,0.0,1,2,f,f
8806,Latina,6,f,t,1.0,1.0,1.0,2,1125,20.2369,20.2369,Private room,0.0,0.0,26,strict,1.7,94.0,10.0,9.0,6.5721528495,1,2,f,t
8807,Latina,13,t,f,2.0,1.0,1.0,2,1125,21.302,21.302,Private room,0.0,0.0,3,flexible,3.0,100.0,10.0,10.0,0.0,1,2,f,t
8808,Latina,30,t,t,1.5,1.0,1.0,3,1125,18.1067,18.1067,Private room,0.0,0.0,39,moderate,1.4,96.0,10.0,10.0,0.0,1,1,t,f
8809,Latina,13,f,f,1.0,1.0,1.0,1,30,17.0416,17.0416,Private room,0.0,0.0,2,moderate,0.38,100.0,10.0,10.0,0.0,1,1,f,f
8810,Latina,12,t,f,2.0,1.0,2.0,2,1125,12.7812,12.7812,Private room,0.0,0.0,6,flexible,2.5,87.0,10.0,9.0,0.0,1,2,f,t
8811,Latina,21,f,f,1.0,1.0,1.0,1,1125,23.4322,23.4322,Private room,0.0,0.0,4,flexible,0.75,87.0,9.0,9.0,7.511031828,1,2,f,t
8812,Latina,3,t,t,1.0,1.0,1.0,2,1125,21.302,21.302,Private room,81.6824711295,0.0,29,moderate,2.14,99.0,10.0,10.0,0.0,1,1,t,f
8813,Latina,9,t,t,1.0,3.0,4.0,4,10,94.7939,18.95878,Entire_home/apt,187.7757957,18.77757957,11,moderate,0.79,95.0,10.0,10.0,9.388789785,5,6,t,f
8814,Latina,1,f,f,1.0,1.0,1.0,1,1125,21.302,21.302,Private room,93.88789785,9.388789785,1,flexible,0.61,100.0,10.0,8.0,0.0,1,2,f,t
8815,Latina,16,t,t,1.0,1.0,2.0,2,1125,26.6275,26.6275,Private room,81.6824711295,0.0,30,moderate,1.93,99.0,10.0,10.0,9.388789785,1,2,t,f
8817,Latina,5,t,t,1.0,3.0,3.0,1,1125,58.5805,11.7161,Entire_home/apt,187.7757957,28.166369355,68,strict,2.92,89.0,9.0,9.0,18.77757957,5,6,f,f
8818,Latina,11,f,t,1.0,1.0,1.0,3,1125,27.6926,27.6926,Private room,0.0,0.0,4,flexible,2.73,100.0,10.0,10.0,0.0,1,2,f,t
8819,Latina,2,f,f,1.0,1.0,1.0,4,1125,15.9765,15.9765,Private room,0.0,0.0,7,flexible,0.55,90.0,9.0,9.0,0.0,1,1,f,f
8820,Latina,18,t,f,2.0,1.0,1.0,2,1125,21.302,21.302,Private room,0.0,0.0,8,flexible,3.12,98.0,10.0,9.0,0.0,1,2,f,t
8821,Latina,18,f,f,1.0,1.0,1.0,3,1125,18.1067,18.1067,Private room,187.7757957,18.77757957,9,flexible,1.15,91.0,10.0,9.0,4.6943948925,1,2,f,f
8822,Latina,5,t,f,1.0,1.0,1.0,1,1125,22.3671,22.3671,Private room,0.0,0.0,8,flexible,1.4,89.0,9.0,9.0,0.0,1,2,f,t
8823,Latina,30,t,f,1.0,1.0,3.0,1,1125,37.2785,37.2785,Private room,0.0,0.0,1,flexible,0.05,60.0,8.0,6.0,0.0,1,2,f,f
8825,Latina,27,f,f,2.0,1.0,1.0,2,1125,21.302,21.302,Private room,0.0,0.0,0,flexible,0.0,0.0,0.0,0.0,0.0,1,2,f,t
8826,Latina,29,f,f,1.0,1.0,2.0,1,1125,18.1067,18.1067,Private room,0.0,0.0,8,flexible,0.68,95.0,9.0,9.0,15.9609426345,1,1,f,f
8827,Latina,5,f,t,1.0,1.0,1.0,2,1125,33.0181,33.0181,Private room,0.0,4.6943948925,87,moderate,5.19,91.0,9.0,9.0,5.633273871,1,2,f,t
8828,Latina,10,t,t,1.0,2.0,3.0,2,1125,79.8825,39.94125,Entire_home/apt,0.0,23.4719744625,9,strict,0.33,85.0,10.0,9.0,9.388789785,2,6,f,f
8829,Latina,30,t,t,1.5,1.0,1.0,3,1125,18.1067,18.1067,Private room,0.0,0.0,40,moderate,1.41,98.0,10.0,10.0,0.0,1,1,t,f
8830,Latina,7,f,f,1.0,1.0,1.0,2,3,29.8228,29.8228,Private room,0.0,0.0,0,flexible,0.0,0.0,0.0,0.0,0.0,1,2,f,f
8831,Carabanchel,15,t,t,0.0,1.0,2.0,4,30,26.6275,26.6275,Private room,0.0,4.6943948925,66,strict,0.99,87.0,9.0,9.0,0.0,1,2,f,t
8832,Carabanchel,9,f,t,1.5,1.0,1.0,1,1125,15.9765,15.9765,Private room,0.0,4.6943948925,2,moderate,2.0,100.0,10.0,10.0,0.0,1,1,f,f
8833,Carabanchel,30,f,t,1.0,1.0,2.0,2,7,55.3852,55.3852,Private room,0.0,0.0,1,flexible,0.25,100.0,10.0,8.0,0.0,1,2,f,f
8834,Carabanchel,12,f,f,1.0,1.0,2.0,1,1125,58.5805,58.5805,Entire_home/apt,0.0,0.0,1,strict,0.29,0.0,0.0,0.0,0.0,1,4,f,t
8835,Carabanchel,19,t,f,1.0,1.0,1.0,1,1125,21.302,21.302,Private room,0.0,0.0,19,strict,1.63,89.0,10.0,10.0,5.633273871,1,2,f,t
8836,Carabanchel,6,t,t,1.0,2.0,2.0,3,90,101.1845,50.59225,Entire_home/apt,187.7757957,56.33273871,39,strict,1.64,95.0,10.0,9.0,9.388789785,2,6,f,t
8837,Carabanchel,11,f,f,1.0,3.0,6.0,2,70,74.557,18.63925,Entire_home/apt,140.831846775,37.55515914,34,moderate,2.09,89.0,9.0,9.0,4.6943948925,4,5,f,f
8838,Carabanchel,30,f,f,1.0,1.0,1.0,1,1125,26.6275,26.6275,Private room,0.0,4.6943948925,0,flexible,0.0,0.0,0.0,0.0,9.388789785,1,1,f,t
8839,Carabanchel,30,t,f,1.5,1.0,1.0,2,1125,74.557,74.557,Private room,187.7757957,14.0831846775,0,flexible,0.0,0.0,0.0,0.0,0.0,1,2,f,f
8840,Carabanchel,12,t,t,1.0,2.0,3.0,2,31,39.4087,39.4087,Entire_home/apt,0.0,28.166369355,3,strict,2.25,87.0,9.0,9.0,9.388789785,1,5,f,f
8841,Carabanchel,17,f,f,1.0,1.0,2.0,1,1125,100.1194,100.1194,Entire_home/apt,0.0,0.0,0,flexible,0.0,0.0,0.0,0.0,0.0,1,4,f,f
8842,Carabanchel,5,t,f,2.0,3.0,2.0,2,1125,42.604,42.604,Entire_home/apt,0.0,23.4719744625,0,flexible,0.0,0.0,0.0,0.0,0.0,1,4,f,t
8843,Carabanchel,29,t,t,1.0,1.0,1.0,1,1125,47.9295,23.96475,Private room,0.0,0.0,7,moderate,0.39,100.0,10.0,10.0,9.388789785,2,2,f,f
8844,Carabanchel,20,f,f,2.0,2.0,4.0,1,1125,47.9295,47.9295,Entire_home/apt,0.0,23.4719744625,0,flexible,0.0,0.0,0.0,0.0,32.8607642475,1,4,f,f
8845,Carabanchel,5,f,f,1.0,1.0,1.0,14,1125,62.8409,62.8409,Entire_home/apt,0.0,18.77757957,9,strict,2.16,96.0,10.0,9.0,0.0,1,2,f,f
8846,Carabanchel,3,t,f,1.0,1.0,2.0,2,1125,15.9765,15.9765,Private room,0.0,0.0,21,flexible,3.21,97.0,10.0,10.0,9.388789785,1,2,f,f
