,neighbourhood_group_cleansed,availability_30,is_location_exact,host_identity_verified,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,price,Price_Person_Night,room_type,security_deposit,cleaning_fee,number_of_reviews,cancellation_policy,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_value,extra_people,guests_included,accommodates,host_is_superhost,instant_bookable
0,Centro,4,t,t,2.0,1.0,2.0,2,30,44.7342,22.3671,Private room,93.88789785,14.0831846775,100,moderate,5.04,92.0,9.0,9.0,0.0,2,2,f,t
1,Centro,0,t,t,1.0,3.0,9.0,1,1125,143.7885,23.96475,Entire_home/apt,187.7757957,37.55515914,68,moderate,4.39,93.0,9.0,9.0,14.0831846775,6,10,f,t
2,Centro,4,t,f,1.0,1.0,1.0,1,1125,86.2731,43.13655,Entire_home/apt,0.0,14.0831846775,34,strict,5.57,93.0,9.0,9.0,9.388789785,2,2,t,t
3,Centro,1,f,f,1.0,1.0,1.0,3,1125,45.7993,45.7993,Private room,0.0,0.0,11,strict,0.24,98.0,10.0,10.0,9.388789785,1,2,t,f
4,Centro,7,t,t,1.5,2.0,2.0,1,1125,53.255,26.6275,Entire_home/apt,234.719744625,18.77757957,6,strict,4.29,100.0,10.0,10.0,23.4719744625,2,4,f,f
5,Centro,1,f,t,2.0,3.0,4.0,2,1125,153.3744,38.3436,Entire_home/apt,187.7757957,32.8607642475,78,strict,6.19,98.0,10.0,10.0,23.4719744625,4,6,t,t
6,Centro,1,f,t,1.0,1.0,2.0,1,30,63.906,31.953,Entire_home/apt,0.0,23.4719744625,73,moderate,1.77,98.0,10.0,10.0,14.0831846775,2,3,f,t
7,Centro,1,f,t,1.0,1.0,2.0,1,31,72.4268,72.4268,Entire_home/apt,0.0,23.4719744625,45,moderate,6.92,95.0,10.0,10.0,0.0,1,4,f,t
8,Centro,7,t,t,1.0,1.0,3.0,1,1125,63.906,31.953,Entire_home/apt,0.0,9.388789785,4,strict,2.14,75.0,9.0,7.0,14.0831846775,2,4,f,t
9,Centro,9,t,t,1.0,1.0,1.0,4,1125,31.953,31.953,Private room,187.7757957,0.0,8,moderate,2.0,100.0,10.0,10.0,23.4719744625,1,2,f,f
10,Centro,5,t,t,1.0,1.0,1.0,2,1125,35.1483,35.1483,Private room,0.0,0.0,104,moderate,5.27,85.0,9.0,9.0,0.0,1,2,f,t
11,Centro,7,t,t,1.0,4.0,6.0,3,1125,84.1429,21.035725,Entire_home/apt,140.831846775,32.8607642475,33,moderate,2.86,82.0,8.0,8.0,9.388789785,4,8,f,t
12,Centro,3,t,t,2.0,1.0,1.0,1,29,26.6275,26.6275,Private room,0.0,4.6943948925,105,flexible,7.63,93.0,9.0,9.0,4.6943948925,1,2,f,t
13,Centro,1,t,t,1.0,1.0,1.0,1,200,63.906,31.953,Entire_home/apt,122.054267205,32.8607642475,3,strict,0.59,100.0,10.0,10.0,23.4719744625,2,4,t,t
14,Centro,22,f,f,1.0,1.0,2.0,1,1125,85.208,85.208,Entire_home/apt,0.0,18.77757957,1,strict,0.56,0.0,0.0,0.0,0.0,1,3,f,f
15,Centro,6,t,f,1.0,1.0,1.0,2,1125,69.2315,69.2315,Entire_home/apt,0.0,18.77757957,122,moderate,6.28,92.0,9.0,9.0,0.0,1,4,f,t
16,Centro,5,f,t,2.0,1.0,2.0,1,1125,41.5389,20.76945,Private room,140.831846775,15.9609426345,47,strict,3.48,89.0,9.0,9.0,9.388789785,2,2,f,t
17,Centro,0,t,t,1.0,1.0,1.0,1,1125,31.953,31.953,Private room,234.719744625,17.8387005915,51,strict,2.38,94.0,9.0,9.0,20.655337527,1,2,f,f
18,Centro,14,f,f,1.0,1.0,5.0,1,1125,46.8644,11.7161,Private room,0.0,0.0,17,strict,2.68,84.0,9.0,9.0,8.4499108065,4,6,f,f
19,Centro,11,t,t,1.5,2.0,3.0,2,1125,127.812,42.604,Entire_home/apt,93.88789785,37.55515914,28,moderate,3.23,91.0,10.0,9.0,14.0831846775,3,6,f,t
20,Centro,18,t,t,1.0,1.0,2.0,1,365,26.6275,26.6275,Private room,65.721528495,9.388789785,71,strict,1.03,95.0,10.0,10.0,17.8387005915,1,2,f,t
21,Centro,8,f,f,1.0,1.0,1.0,2,1125,42.604,42.604,Private room,0.0,0.0,14,flexible,2.5,99.0,10.0,10.0,0.0,1,2,t,t
22,Centro,1,t,f,1.0,0.0,1.0,1,1125,29.8228,29.8228,Entire_home/apt,0.0,7.511031828,1,strict,1.0,80.0,8.0,8.0,0.0,1,2,f,t
23,Centro,18,f,f,1.0,1.0,2.0,2,6,79.8825,79.8825,Private room,0.0,0.0,0,moderate,0.0,0.0,0.0,0.0,26.288611398,1,2,f,f
24,Centro,0,f,t,1.0,1.0,2.0,3,1125,47.9295,23.96475,Entire_home/apt,81.6824711295,23.4719744625,71,strict,1.7,93.0,9.0,9.0,9.388789785,2,3,f,t
25,Centro,2,f,t,1.0,0.0,1.0,3,1125,63.906,63.906,Entire_home/apt,187.7757957,18.77757957,72,moderate,2.62,97.0,10.0,10.0,0.0,1,2,t,t
26,Centro,3,t,t,4.5,5.0,8.0,1,1125,426.04,60.8628571429,Entire_home/apt,469.43948925,65.721528495,18,moderate,2.09,100.0,10.0,10.0,46.943948925,7,10,t,t
27,Centro,9,t,t,2.0,2.0,2.0,3,60,111.8355,55.91775,Entire_home/apt,281.66369355,28.166369355,96,flexible,2.32,94.0,10.0,10.0,0.0,2,4,f,f
28,Centro,4,t,t,1.0,0.0,2.0,2,20,69.2315,34.61575,Entire_home/apt,75.11031828,0.0,230,strict,4.04,96.0,9.0,10.0,9.388789785,2,3,t,t
29,Centro,11,f,f,1.0,0.0,2.0,2,1125,62.8409,31.42045,Entire_home/apt,140.831846775,22.533095484,2,flexible,2.0,100.0,10.0,10.0,14.0831846775,2,4,f,t
30,Centro,3,t,f,1.0,1.0,2.0,2,1125,95.859,47.9295,Entire_home/apt,0.0,14.0831846775,3,flexible,3.0,100.0,10.0,9.0,14.0831846775,2,4,f,f
31,Centro,1,t,t,1.0,1.0,1.0,1,1125,33.0181,33.0181,Private room,0.0,14.0831846775,88,strict,3.92,84.0,9.0,9.0,0.0,1,2,f,f
32,Centro,0,t,t,1.0,1.0,2.0,3,1125,58.5805,29.29025,Entire_home/apt,0.0,18.77757957,57,strict,3.89,92.0,9.0,9.0,14.0831846775,2,4,f,t
33,Centro,3,f,t,1.0,1.0,2.0,3,30,74.557,37.2785,Entire_home/apt,0.0,0.0,160,moderate,2.4,98.0,10.0,10.0,9.388789785,2,3,t,f
34,Centro,29,f,t,1.0,1.0,1.0,2,1125,31.953,31.953,Private room,0.0,0.0,13,strict,0.7,89.0,9.0,9.0,0.0,1,1,f,f
35,Centro,4,f,f,1.0,1.0,1.0,10,1125,18.1067,18.1067,Private room,0.0,0.0,0,strict,0.0,0.0,0.0,0.0,0.0,1,2,f,f
36,Centro,6,t,t,2.0,2.0,2.0,2,1125,76.6872,38.3436,Entire_home/apt,187.7757957,23.4719744625,119,moderate,2.79,90.0,9.0,9.0,18.77757957,2,6,f,t
37,Centro,7,t,t,1.0,1.0,1.0,1,1125,40.4738,40.4738,Private room,0.0,0.0,0,flexible,0.0,0.0,0.0,0.0,4.6943948925,1,2,f,t
38,Centro,4,f,f,2.0,2.0,2.0,2,1125,76.6872,76.6872,Entire_home/apt,0.0,18.77757957,25,flexible,3.46,95.0,10.0,10.0,0.0,1,4,f,t
39,Centro,14,f,t,2.5,2.0,2.0,1,30,234.322,234.322,Entire_home/apt,469.43948925,42.2495540325,14,strict,2.15,95.0,9.0,10.0,0.0,1,4,f,f
40,Centro,2,t,t,1.0,2.0,2.0,5,10,69.2315,69.2315,Entire_home/apt,0.0,14.0831846775,61,strict,4.58,89.0,9.0,9.0,0.0,1,3,f,t
41,Centro,14,f,t,1.0,1.0,12.0,1,1125,53.255,8.87583333333,Entire_home/apt,168.99821613,46.943948925,7,strict,2.73,89.0,9.0,9.0,18.77757957,6,14,f,f
42,Centro,1,t,t,1.0,1.0,2.0,2,1125,79.8825,39.94125,Entire_home/apt,93.88789785,23.4719744625,18,strict,1.93,84.0,9.0,9.0,11.266547742,2,3,f,f
43,Centro,4,f,t,2.0,1.0,1.0,1,1125,35.1483,35.1483,Private room,168.99821613,15.9609426345,18,strict,3.53,87.0,9.0,9.0,0.0,1,2,f,t
44,Centro,8,f,t,1.0,1.0,1.0,2,1125,35.1483,35.1483,Private room,0.0,0.0,19,flexible,1.63,94.0,10.0,9.0,0.0,1,1,f,f
45,Centro,8,t,t,1.0,1.0,1.0,2,1125,46.8644,23.4322,Entire_home/apt,93.88789785,23.4719744625,18,flexible,3.16,98.0,10.0,10.0,0.0,2,2,f,t
46,Centro,3,t,t,1.0,1.0,1.0,2,10000,101.1845,101.1845,Entire_home/apt,187.7757957,37.55515914,11,strict,0.39,98.0,10.0,9.0,0.0,1,2,f,t
47,Centro,1,t,f,2.0,2.0,3.0,4,1125,106.51,26.6275,Entire_home/apt,0.0,37.55515914,55,flexible,2.31,97.0,10.0,10.0,23.4719744625,4,5,t,t
48,Centro,9,f,f,1.0,1.0,1.0,1,1125,55.3852,55.3852,Entire_home/apt,0.0,0.0,17,flexible,5.37,85.0,9.0,8.0,0.0,1,2,f,t
49,Centro,4,t,t,1.0,1.0,2.0,3,365,63.906,31.953,Entire_home/apt,93.88789785,28.166369355,49,moderate,1.73,94.0,10.0,9.0,14.0831846775,2,4,f,f
50,Centro,1,t,t,1.5,0.0,2.0,1,1125,69.2315,34.61575,Entire_home/apt,0.0,23.4719744625,75,strict,3.83,90.0,9.0,9.0,9.388789785,2,4,f,t
51,Centro,8,t,t,2.0,2.0,2.0,3,38,95.859,47.9295,Entire_home/apt,140.831846775,37.55515914,13,strict,0.3,92.0,9.0,9.0,9.388789785,2,4,f,f
52,Centro,5,t,t,1.0,2.0,4.0,1,1125,94.7939,47.39695,Entire_home/apt,0.0,0.0,134,strict,7.26,94.0,10.0,9.0,9.388789785,2,6,f,t
53,Centro,7,t,t,1.0,1.0,2.0,2,90,52.1899,26.09495,Entire_home/apt,140.831846775,28.166369355,137,moderate,3.19,89.0,9.0,9.0,18.77757957,2,4,f,t
54,Centro,0,t,t,1.0,1.0,2.0,1,1125,66.0362,33.0181,Entire_home/apt,93.88789785,23.4719744625,38,strict,2.0,95.0,10.0,9.0,14.0831846775,2,4,f,t
55,Centro,1,f,f,1.0,1.0,1.0,2,90,50.0597,50.0597,Entire_home/apt,328.607642475,28.166369355,2,strict,2.0,90.0,10.0,8.0,0.0,1,2,f,f
56,Centro,5,f,t,1.0,1.0,1.0,2,30,31.953,31.953,Private room,0.0,0.0,5,strict,4.41,92.0,10.0,9.0,4.6943948925,1,2,f,f
57,Centro,3,t,t,2.0,2.0,2.0,1,1125,95.859,95.859,Entire_home/apt,0.0,32.8607642475,42,strict,5.29,91.0,10.0,9.0,0.0,1,4,f,t
58,Centro,13,t,t,1.0,1.0,1.0,2,30,51.1248,25.5624,Entire_home/apt,234.719744625,23.4719744625,107,strict,2.24,84.0,9.0,9.0,16.899821613,2,3,f,t
59,Centro,9,f,t,1.0,1.0,2.0,2,1125,69.2315,69.2315,Entire_home/apt,0.0,28.166369355,109,strict,4.75,96.0,10.0,10.0,0.0,1,4,t,f
60,Centro,9,t,t,3.0,3.0,4.0,3,1125,137.3979,137.3979,Entire_home/apt,0.0,72.2936813445,11,strict,0.75,95.0,10.0,9.0,0.0,1,4,f,t
61,Centro,12,t,t,2.0,2.0,2.0,3,30,95.859,47.9295,Entire_home/apt,140.831846775,37.55515914,27,strict,0.68,90.0,9.0,9.0,9.388789785,2,4,f,f
62,Centro,13,t,t,2.0,2.0,2.0,3,1125,158.6999,79.34995,Entire_home/apt,0.0,72.2936813445,0,strict,0.0,0.0,0.0,0.0,0.0,2,4,f,t
63,Centro,5,f,f,1.0,1.0,1.0,1,1125,27.6926,27.6926,Private room,0.0,0.0,2,moderate,0.86,100.0,10.0,10.0,0.0,1,1,f,f
64,Centro,2,t,t,2.0,2.0,4.0,2,1125,166.1556,83.0778,Entire_home/apt,281.66369355,67.599286452,18,strict,2.66,96.0,10.0,9.0,16.899821613,2,6,t,t
65,Centro,10,t,t,2.0,2.0,2.0,2,1125,47.9295,23.96475,Entire_home/apt,93.88789785,46.943948925,27,strict,3.7,87.0,9.0,9.0,14.0831846775,2,4,f,f
66,Centro,29,f,t,2.0,1.0,4.0,1,1125,84.1429,84.1429,Private room,0.0,17.8387005915,2,strict,0.34,90.0,9.0,8.0,17.8387005915,1,4,f,f
67,Centro,5,f,f,1.0,0.0,1.0,1,30,58.5805,58.5805,Entire_home/apt,0.0,14.0831846775,1,flexible,1.0,80.0,8.0,8.0,0.0,1,2,f,f
68,Centro,5,t,f,3.0,4.0,6.0,2,1125,213.02,213.02,Entire_home/apt,0.0,46.943948925,22,flexible,2.15,95.0,10.0,9.0,0.0,1,6,f,f
69,Centro,14,f,t,0.0,1.0,1.0,1,15,53.255,53.255,Private room,0.0,0.0,53,strict,1.73,95.0,10.0,10.0,0.0,1,2,f,f
70,Centro,19,t,t,1.0,1.0,1.0,2,7,26.6275,26.6275,Private room,0.0,0.0,28,strict,0.73,84.0,9.0,9.0,9.388789785,1,2,f,f
71,Centro,3,f,t,1.0,1.0,1.0,1,90,55.3852,27.6926,Entire_home/apt,140.831846775,14.0831846775,25,strict,3.97,94.0,10.0,9.0,9.388789785,2,4,t,f
72,Centro,12,t,t,1.0,1.0,2.0,1,365,105.4449,52.72245,Entire_home/apt,93.88789785,28.166369355,0,strict,0.0,0.0,0.0,0.0,0.0,2,4,f,t
73,Centro,25,f,f,1.0,1.0,1.0,1,7,42.604,42.604,Private room,0.0,0.0,1,flexible,0.73,100.0,8.0,10.0,0.0,1,2,f,t
74,Centro,2,f,t,1.0,1.0,1.0,2,12,56.4503,28.22515,Entire_home/apt,0.0,28.166369355,5,strict,1.26,100.0,10.0,10.0,13.144305699,2,2,f,f
75,Centro,10,t,t,1.0,0.0,1.0,2,30,63.906,63.906,Entire_home/apt,112.66547742,9.388789785,10,strict,2.4,82.0,9.0,9.0,0.0,1,2,f,t
76,Centro,15,t,t,1.0,1.0,2.0,1,28,58.5805,58.5805,Entire_home/apt,93.88789785,37.55515914,16,moderate,2.65,81.0,9.0,8.0,14.0831846775,1,4,f,t
77,Centro,5,t,t,2.0,2.0,4.0,3,1125,108.6402,108.6402,Entire_home/apt,281.66369355,48.821706882,14,strict,0.44,86.0,9.0,9.0,10.3276687635,1,6,f,f
78,Centro,11,t,f,1.0,1.0,1.0,3,1125,52.1899,52.1899,Entire_home/apt,0.0,0.0,5,moderate,5.0,100.0,10.0,10.0,0.0,1,2,f,t
79,Centro,20,f,t,1.0,1.0,1.0,2,1125,18.1067,18.1067,Private room,93.88789785,9.388789785,29,moderate,1.29,86.0,9.0,9.0,9.388789785,1,2,f,f
80,Centro,7,t,t,1.0,2.0,4.0,6,186,138.463,138.463,Entire_home/apt,140.831846775,32.8607642475,35,strict,1.58,99.0,10.0,10.0,0.0,1,5,f,f
81,Centro,5,f,t,1.0,1.0,1.0,1,1125,26.6275,26.6275,Private room,0.0,0.0,212,strict,12.5,98.0,10.0,10.0,13.144305699,1,2,f,t
82,Centro,27,t,f,1.23,1.0,1.0,3,90,94.7939,47.39695,Entire_home/apt,187.7757957,46.943948925,5,strict,0.1,92.0,9.0,10.0,18.77757957,2,2,f,f
83,Centro,14,t,t,3.0,3.0,4.0,3,365,399.4125,399.4125,Entire_home/apt,328.607642475,61.0271336025,26,strict,0.72,92.0,9.0,9.0,0.0,1,6,f,f
84,Centro,23,f,t,1.0,1.0,1.0,1,1125,63.906,63.906,Private room,0.0,0.0,0,flexible,0.0,0.0,0.0,0.0,0.0,1,2,f,f
85,Centro,9,t,f,1.0,1.0,1.0,4,1125,90.5335,90.5335,Entire_home/apt,0.0,28.166369355,131,flexible,2.46,96.0,10.0,10.0,0.0,1,4,t,t
86,Centro,2,t,f,1.0,1.0,1.0,1,7,31.953,31.953,Private room,0.0,8.4499108065,60,moderate,8.11,95.0,10.0,10.0,0.0,1,2,f,t
87,Centro,7,t,t,2.0,4.0,7.0,3,1125,143.7885,35.947125,Entire_home/apt,281.66369355,56.33273871,15,strict,0.43,89.0,9.0,9.0,18.77757957,4,9,f,t
88,Centro,7,f,f,1.0,1.0,2.0,2,1125,90.5335,45.26675,Entire_home/apt,0.0,0.0,0,moderate,0.0,0.0,0.0,0.0,23.4719744625,2,4,f,t
89,Centro,6,f,t,1.0,1.0,2.0,4,1125,58.5805,29.29025,Entire_home/apt,112.66547742,0.0,13,moderate,2.5,97.0,10.0,10.0,11.266547742,2,4,t,f
90,Centro,1,t,t,1.0,1.0,2.0,4,2000,72.4268,36.2134,Entire_home/apt,140.831846775,18.77757957,0,flexible,0.0,0.0,0.0,0.0,7.511031828,2,4,t,t
91,Centro,4,t,t,1.0,1.0,2.0,1,1125,41.5389,20.76945,Private room,140.831846775,15.9609426345,43,strict,3.44,86.0,9.0,9.0,12.2054267205,2,4,f,t
92,Centro,2,t,t,1.0,1.0,2.0,2,10,63.906,31.953,Entire_home/apt,93.88789785,30.9830062905,0,moderate,0.0,0.0,0.0,0.0,37.55515914,2,2,f,f
93,Centro,5,t,f,1.0,1.0,2.0,1,1125,84.1429,84.1429,Private room,0.0,0.0,0,flexible,0.0,0.0,0.0,0.0,0.0,1,4,f,f
94,Centro,10,t,f,2.5,3.0,4.0,2,1125,175.7415,43.935375,Entire_home/apt,187.7757957,46.943948925,8,strict,1.28,98.0,10.0,10.0,9.388789785,4,7,f,t
95,Centro,4,f,f,1.0,1.0,3.0,2,1125,79.8825,39.94125,Entire_home/apt,0.0,0.0,0,moderate,0.0,0.0,0.0,0.0,23.4719744625,2,6,f,t
96,Centro,17,t,f,1.0,1.0,1.0,3,1125,94.7939,47.39695,Entire_home/apt,281.66369355,27.2274903765,26,strict,2.37,97.0,10.0,10.0,14.0831846775,2,4,t,f
97,Centro,13,t,f,1.0,1.0,2.0,2,1125,66.0362,33.0181,Entire_home/apt,164.303821237,26.288611398,31,moderate,1.33,93.0,9.0,9.0,5.633273871,2,4,f,f
98,Centro,12,t,f,1.5,2.0,3.0,2,180,122.4865,122.4865,Entire_home/apt,234.719744625,56.33273871,121,moderate,2.33,94.0,9.0,9.0,0.0,1,6,f,f
99,Centro,6,f,t,1.0,2.0,3.0,3,1125,69.2315,34.61575,Entire_home/apt,122.054267205,28.166369355,43,moderate,1.01,95.0,9.0,9.0,9.388789785,2,6,f,f
100,Centro,3,t,f,1.0,1.0,2.0,3,1125,53.255,26.6275,Entire_home/apt,0.0,0.0,126,moderate,5.58,93.0,10.0,9.0,9.388789785,2,4,f,t
101,Centro,11,t,f,2.5,3.0,5.0,3,1125,202.369,50.59225,Entire_home/apt,281.66369355,37.55515914,25,strict,2.19,98.0,10.0,10.0,14.0831846775,4,6,t,f
102,Centro,6,f,t,2.0,6.0,16.0,2,1125,213.02,21.302,Entire_home/apt,140.831846775,45.066190968,82,moderate,2.83,94.0,9.0,9.0,23.4719744625,10,16,t,t
103,Centro,5,f,t,1.0,2.0,3.0,2,1125,79.8825,19.970625,Entire_home/apt,187.7757957,0.0,4,strict,0.34,100.0,10.0,10.0,18.77757957,4,5,f,t
104,Centro,10,f,t,1.0,1.0,1.0,1,1125,59.6456,29.8228,Entire_home/apt,187.7757957,9.388789785,20,strict,5.04,95.0,10.0,9.0,14.0831846775,2,4,t,t
106,Centro,12,t,t,1.0,1.0,1.0,2,15,53.255,53.255,Entire_home/apt,187.7757957,28.166369355,5,moderate,1.95,100.0,10.0,10.0,0.0,1,2,f,f
107,Centro,1,t,f,1.0,0.0,1.0,1,14,47.9295,47.9295,Entire_home/apt,0.0,0.0,75,moderate,9.22,97.0,10.0,10.0,0.0,1,2,f,t
108,Centro,2,t,t,1.0,1.0,2.0,2,1125,58.5805,29.29025,Entire_home/apt,140.831846775,32.8607642475,102,strict,4.76,96.0,10.0,10.0,9.388789785,2,2,t,t
109,Centro,2,t,t,1.0,2.0,2.0,1,30,56.4503,56.4503,Entire_home/apt,0.0,16.899821613,70,strict,3.1,91.0,9.0,9.0,0.0,1,3,f,t
110,Centro,4,t,t,1.0,1.0,2.0,2,1125,104.3798,52.1899,Entire_home/apt,187.7757957,46.943948925,5,strict,0.29,88.0,10.0,10.0,18.77757957,2,4,f,t
112,Centro,4,f,t,1.0,2.0,1.0,2,1125,85.208,42.604,Entire_home/apt,0.0,23.4719744625,0,strict,0.0,0.0,0.0,0.0,18.77757957,2,2,f,f
113,Centro,29,f,t,2.0,1.0,3.0,1,1125,52.1899,52.1899,Private room,0.0,14.0831846775,2,strict,0.22,80.0,7.0,8.0,14.0831846775,1,4,f,f
114,Centro,2,t,f,2.0,4.0,6.0,3,1125,234.322,234.322,Entire_home/apt,187.7757957,0.0,69,flexible,2.96,97.0,10.0,10.0,0.0,1,8,f,t
115,Centro,12,t,t,1.0,1.0,1.0,1,1125,37.2785,37.2785,Private room,0.0,0.0,124,flexible,6.94,92.0,9.0,9.0,0.0,1,2,f,f
116,Centro,19,t,t,1.0,1.0,1.0,1,1125,63.906,63.906,Private room,0.0,0.0,8,strict,0.24,91.0,10.0,9.0,0.0,1,2,f,f
117,Centro,30,t,t,1.23,1.0,1.0,1,1125,303.5535,303.5535,Private room,0.0,0.0,1,flexible,0.03,0.0,0.0,0.0,0.0,1,2,f,f
118,Centro,5,t,t,1.0,1.0,1.0,4,365,69.2315,34.61575,Entire_home/apt,187.7757957,30.044127312,2,moderate,0.04,90.0,7.0,8.0,10.3276687635,2,2,f,t
119,Centro,13,t,t,2.0,3.0,5.0,3,1125,255.624,255.624,Entire_home/apt,657.21528495,131.44305699,1,strict,0.77,100.0,10.0,10.0,0.0,1,6,f,t
120,Centro,6,f,f,2.0,2.0,3.0,2,1125,127.812,63.906,Entire_home/apt,0.0,0.0,0,moderate,0.0,0.0,0.0,0.0,23.4719744625,2,6,f,t
121,Centro,8,t,t,1.0,1.0,1.0,2,1125,83.0778,41.5389,Entire_home/apt,234.719744625,14.0831846775,66,strict,1.63,93.0,10.0,9.0,14.0831846775,2,4,f,f
122,Centro,9,f,t,2.5,4.0,6.0,4,1125,191.718,47.9295,Entire_home/apt,375.5515914,93.88789785,18,strict,2.58,98.0,10.0,10.0,9.388789785,4,8,t,f
123,Centro,5,t,t,2.0,2.0,4.0,2,1125,149.114,37.2785,Entire_home/apt,187.7757957,46.943948925,43,strict,3.08,91.0,10.0,9.0,28.166369355,4,6,f,f
124,Centro,8,f,t,1.0,1.0,1.0,2,1125,58.5805,29.29025,Entire_home/apt,187.7757957,0.0,1,strict,0.09,80.0,10.0,10.0,18.77757957,2,2,f,t
125,Centro,8,t,f,2.0,3.0,5.0,2,1125,101.1845,50.59225,Entire_home/apt,234.719744625,23.4719744625,12,strict,2.73,85.0,9.0,9.0,9.388789785,2,8,f,t
126,Centro,27,t,f,2.0,1.0,1.0,1,1125,26.6275,26.6275,Private room,0.0,0.0,7,flexible,0.37,100.0,10.0,10.0,17.8387005915,1,2,f,f
127,Centro,2,t,t,1.0,1.0,1.0,6,1125,44.7342,22.3671,Entire_home/apt,0.0,26.288611398,16,strict,1.4,88.0,9.0,9.0,0.0,2,2,f,f
128,Centro,4,f,t,2.0,1.0,3.0,5,1125,101.1845,101.1845,Entire_home/apt,0.0,0.0,0,strict,0.0,0.0,0.0,0.0,0.0,1,4,f,t
129,Centro,16,f,t,1.5,1.0,5.0,3,1125,159.765,79.8825,Entire_home/apt,328.607642475,46.943948925,28,strict,1.15,96.0,9.0,9.0,14.0831846775,2,8,t,f
130,Centro,5,t,t,1.0,1.0,2.0,4,1125,72.4268,36.2134,Entire_home/apt,159.609426345,20.655337527,85,moderate,4.03,99.0,10.0,10.0,14.0831846775,2,4,t,f
131,Centro,22,f,f,1.0,1.0,1.0,1,15,21.302,21.302,Private room,0.0,0.0,10,moderate,1.53,94.0,9.0,10.0,0.0,1,1,f,f
132,Centro,16,t,f,1.0,1.0,1.0,3,1125,62.8409,62.8409,Entire_home/apt,281.66369355,37.55515914,95,strict,2.2,94.0,9.0,9.0,18.77757957,1,3,f,t
133,Centro,13,t,t,1.0,2.0,2.0,3,32,74.557,37.2785,Entire_home/apt,187.7757957,32.8607642475,28,moderate,3.89,96.0,10.0,10.0,14.0831846775,2,5,t,t
134,Centro,17,f,t,1.0,1.0,1.0,1,1125,63.906,63.906,Private room,0.0,0.0,8,strict,3.24,93.0,10.0,10.0,0.0,1,2,f,f
135,Centro,6,f,t,1.0,1.0,1.0,2,1125,79.8825,39.94125,Entire_home/apt,281.66369355,37.55515914,21,flexible,0.45,96.0,10.0,10.0,18.77757957,2,4,f,f
136,Centro,7,t,t,2.0,3.0,5.0,1,1125,181.067,30.1778333333,Entire_home/apt,187.7757957,0.0,188,strict,4.39,94.0,10.0,9.0,23.4719744625,6,8,t,f
137,Centro,2,f,f,1.0,1.0,1.0,2,20,54.3201,27.16005,Entire_home/apt,0.0,14.0831846775,14,strict,2.32,90.0,10.0,8.0,18.77757957,2,2,f,f
138,Centro,4,t,t,2.0,3.0,5.0,3,365,202.369,50.59225,Entire_home/apt,140.831846775,28.166369355,1,strict,1.0,100.0,10.0,10.0,9.388789785,4,8,f,t
139,Centro,2,f,f,1.0,1.0,1.0,2,1125,37.2785,37.2785,Private room,0.0,0.0,41,moderate,2.73,96.0,10.0,10.0,14.0831846775,1,2,t,f
140,Centro,6,t,t,1.0,1.0,1.0,15,500,79.8825,39.94125,Entire_home/apt,187.7757957,46.943948925,35,moderate,1.12,84.0,9.0,9.0,14.0831846775,2,2,f,f
141,Centro,4,t,f,2.0,1.0,1.0,2,365,37.2785,37.2785,Private room,0.0,0.0,49,moderate,4.38,87.0,9.0,9.0,0.0,1,2,f,t
142,Centro,2,t,t,1.0,1.0,1.0,2,1125,63.906,31.953,Entire_home/apt,93.88789785,28.166369355,23,moderate,2.36,99.0,10.0,10.0,16.899821613,2,3,t,t
143,Centro,6,f,t,1.0,1.0,2.0,1,1125,74.557,37.2785,Entire_home/apt,93.88789785,18.77757957,106,strict,7.79,98.0,10.0,10.0,14.0831846775,2,3,t,t
144,Centro,27,t,f,1.0,1.0,1.0,1,1125,58.5805,58.5805,Private room,0.0,0.0,0,flexible,0.0,0.0,0.0,0.0,0.0,1,2,f,f
145,Centro,10,t,f,2.0,3.0,4.0,1,30,104.3798,20.87596,Entire_home/apt,0.0,46.943948925,0,moderate,0.0,0.0,0.0,0.0,0.0,5,8,f,f
146,Centro,10,f,t,1.0,2.0,2.0,1,30,72.4268,18.1067,Entire_home/apt,0.0,28.166369355,18,moderate,1.68,94.0,10.0,9.0,0.0,4,4,f,f
147,Centro,10,f,t,1.0,1.0,1.0,1,1125,73.4919,36.74595,Entire_home/apt,0.0,28.166369355,24,strict,2.06,94.0,10.0,10.0,37.55515914,2,2,t,f
148,Centro,8,t,f,1.0,1.0,2.0,3,1125,69.2315,23.0771666667,Entire_home/apt,0.0,32.8607642475,14,moderate,1.47,99.0,10.0,9.0,9.388789785,3,4,f,f
149,Centro,7,t,t,2.0,3.0,4.0,3,31,122.4865,61.24325,Entire_home/apt,140.831846775,0.0,77,moderate,3.98,94.0,10.0,9.0,14.0831846775,2,6,f,t
150,Centro,6,f,t,1.0,1.0,2.0,2,1125,53.255,26.6275,Entire_home/apt,0.0,18.77757957,2,moderate,0.21,100.0,10.0,10.0,14.0831846775,2,3,t,t
151,Centro,29,t,t,2.0,3.0,5.0,20,365,127.812,127.812,Entire_home/apt,0.0,0.0,3,flexible,0.46,93.0,9.0,9.0,0.0,1,5,f,f
